epoch,step,loss,val_loss
659,3959,,0.43572333455085754
659,3959,0.38162022829055786,
660,3965,0.41497692465782166,
661,3971,0.3745831549167633,
662,3977,0.4001598358154297,
663,3983,,0.4357282221317291
663,3983,0.38856571912765503,
664,3989,0.3896844983100891,
665,3995,0.39523565769195557,
666,4001,0.3892778158187866,
667,4007,,0.4357375204563141
667,4007,0.3820756673812866,
668,4013,0.38717150688171387,
669,4019,0.3790809214115143,
670,4025,0.3909834027290344,
671,4031,,0.43573448061943054
671,4031,0.3932977318763733,
672,4037,0.3944759666919708,
673,4043,0.41092920303344727,
674,4049,0.3801472783088684,
675,4055,,0.43573448061943054
675,4055,0.39199531078338623,
676,4061,0.3828164339065552,
677,4067,0.39998510479927063,
678,4073,0.3869309425354004,
679,4079,,0.43572911620140076
679,4079,0.3736940324306488,
680,4085,0.3865232765674591,
681,4091,0.3892054557800293,
682,4097,0.36806413531303406,
683,4103,,0.4357282221317291
683,4103,0.3774532079696655,
684,4109,0.40928974747657776,
685,4115,0.38657960295677185,
686,4121,0.3993139863014221,
687,4127,,0.43573567271232605
687,4127,0.38165003061294556,
688,4133,0.37184369564056396,
689,4139,0.3988666236400604,
690,4145,0.3851049840450287,
691,4151,,0.4357413947582245
691,4151,0.3937694728374481,
692,4157,0.38091644644737244,
693,4163,0.3763374984264374,
694,4169,0.38698694109916687,
695,4175,,0.4357416331768036
695,4175,0.3771718740463257,
696,4181,0.3828771412372589,
697,4187,0.39138901233673096,
698,4193,0.36621391773223877,
699,4199,,0.4357413053512573
699,4199,0.3926578760147095,
700,4205,0.38051024079322815,
701,4211,0.36548998951911926,
702,4217,0.40825405716896057,
703,4223,,0.43574923276901245
703,4223,0.39423298835754395,
704,4229,0.3811710774898529,
705,4235,0.40746158361434937,
706,4241,0.38540980219841003,
707,4247,,0.43575575947761536
707,4247,0.38664570450782776,
708,4253,0.39525067806243896,
709,4259,0.38325735926628113,
710,4265,0.3881390392780304,
711,4271,,0.43575507402420044
711,4271,0.3921267092227936,
712,4277,0.3809260427951813,
713,4283,0.36765071749687195,
714,4289,0.37993893027305603,
715,4295,,0.43575623631477356
715,4295,0.374099463224411,
716,4301,0.390785813331604,
717,4307,0.38141727447509766,
718,4313,0.40400341153144836,
719,4319,,0.43575677275657654
719,4319,0.4231705963611603,
720,4325,0.38718152046203613,
721,4331,0.39679789543151855,
722,4337,0.4018706977367401,
723,4343,,0.43576040863990784
723,4343,0.4039820432662964,
724,4349,0.37129852175712585,
725,4355,0.3991755545139313,
726,4361,0.4001227915287018,
727,4367,,0.4357665777206421
727,4367,0.3740360140800476,
728,4373,0.3865929841995239,
729,4379,0.37962549924850464,
730,4385,0.3967015743255615,
731,4391,,0.4357597231864929
731,4391,0.368915855884552,
732,4397,0.36378759145736694,
733,4403,0.3904286324977875,
734,4409,0.36812371015548706,
735,4415,,0.43575790524482727
735,4415,0.3715175986289978,
736,4421,0.3756057918071747,
737,4427,0.3926837146282196,
738,4433,0.3838927745819092,
739,4439,,0.43575960397720337
739,4439,0.36236923933029175,
740,4445,0.38671746850013733,
741,4451,0.3773907423019409,
742,4457,0.39587652683258057,
743,4463,,0.43576204776763916
743,4463,0.3904610574245453,
744,4469,0.3790084421634674,
